title,scoiety,price,area,when ready,link
"2 BHK Flat  for Sale in The Dynamix Luma, Andheri East, Mumbai",The Dynamix Luma,Rs 2.04 Cr ,624 sqft,Sep '27,no link
"2 BHK Flat  for Sale in Blue Regency II, Kandivali West, Mumbai",Blue Regency II,Rs 2.23 Cr ,950 sqft,to Move,no link
"2 BHK Flat  for Sale in Promont By Sheth Realty and Aakshaya Realty, Sion, Mumbai",Promont By Sheth Realty and Aakshaya Realty,Rs 2.14 Cr ,684 sqft,Dec '27,no link
"2 BHK Flat  for Sale in RNA NG Grand Empire, Navghar Road, Mumbai",RNA NG Grand Empire,Rs 1.11 Cr ,580 sqft,Dec '26,no link
"3 BHK Flat  for Sale in L&T Rejuve 360, Mulund West, Mumbai",L&T Rejuve 360,Rs 2.90 Cr ,912 sqft,Dec '26,no link
"3 BHK Flat  for Sale in Ashwin Sheth Edmont Aurelia, Kandivali West, Mumbai",Ashwin Sheth Edmont Aurelia,Rs 3.55 Cr ,1218 sqft,Aug '29,no link
"3 BHK Flat  for Sale in CCI Rivali Park Stargaze, Borivali East, Mumbai",CCI Rivali Park Stargaze,Rs 3.68 Cr ,1114 sqft,Oct '29,no link
"3 BHK Flat  for Sale in Vaidya West World Harmony, Andheri East, Mumbai",Vaidya West World Harmony,Rs 4.32 Cr ,1025 sqft,Jul '27,no link
"3 BHK Flat  for Sale in Kalpataru Elitus, Mulund West, Mumbai",Kalpataru Elitus,Rs 2.93 Cr ,1090 sqft,Sep '26,no link
"2 BHK Flat  for Sale in Sunteck City 4th Avenue, Goregaon West, Mumbai",Sunteck City 4th Avenue,Rs 2.67 Cr ,866 sqft,Dec '25,no link
"3 BHK Flat  for Sale in Veena Insignia, Andheri West, Mumbai",Veena Insignia,Rs 4.49 Cr ,999 sqft,Mar '28,no link
"3 BHK Flat  for Sale in Ajmera Prive, Juhu, Mumbai",none,Rs 9.90 Cr ,1521 sqft,Jun '26,https://www.magicbricks.com/ajmera-prive-juhu-mumbai-pdpid-4d4235333435383933
"2 BHK Flat  for Sale in Godrej Horizon, Wadala, Mumbai",none,Rs 2.99 Cr ,745 sqft,May '28,https://www.magicbricks.com/godrej-horizon-wadala-mumbai-pdpid-4d4235333331363135
"3 BHK Flat  for Sale in Lodha Corinthia, Bhandup West, Mumbai",none,Rs 2.57 Cr ,1045 sqft,Jun '30,https://www.magicbricks.com/lodha-corinthia-bhandup-west-mumbai-pdpid-4d4235343234303433
"2 BHK Flat  for Sale in Purva Clermont, Chembur, Mumbai",none,Rs 2.32 Cr ,623 sqft,Jun '25,https://www.magicbricks.com/purva-clermont-chembur-mumbai-pdpid-4d4235323335363239
"3 BHK Flat  for Sale in Rishabraj Trident, Juhu, Mumbai",none,Rs 8.24 Cr ,1500 sqft,Aug '28,https://www.magicbricks.com/rishabraj-trident-juhu-mumbai-pdpid-4d4235343230303139
"3 BHK Flat  for Sale in Kalpataru Vienta, Kandivali East, Mumbai",none,Rs 4.20 Cr ,1006 sqft,New Property,https://www.magicbricks.com/kalpataru-vienta-kandivali-east-mumbai-pdpid-4d4235313331303239
"3 BHK Flat  for Sale in Hiranandani Empress Hill, Powai, Mumbai",none,Rs 5.08 Cr ,1200 sqft,Dec '28,https://www.magicbricks.com/hiranandani-empress-hill-powai-mumbai-pdpid-4d4235343137303631
"3 BHK Flat  for Sale in Ganapati Baug CHSL, Borivali West, Mumbai",none,Rs 4 Cr ,1230 sqft,Jan '28,https://www.magicbricks.com/ganapati-baug-chsl-borivali-west-mumbai-pdpid-4d4235343234363839
"3 BHK Flat  for Sale in Rivali Park Moonrise, Borivali East, Mumbai",none,Rs 2.83 Cr ,1120 sqft,Jun '30,https://www.magicbricks.com/rivali-park-moonrise-borivali-east-mumbai-pdpid-4d4235343231303435
"3 BHK Flat  for Sale in Bharat altavista, Andheri West, Mumbai",none,Rs 5.37 Cr ,1238 sqft,Sep '30,https://www.magicbricks.com/bharat-altavista-andheri-west-mumbai-pdpid-4d4235343234343633
"2 BHK Flat  for Sale in Ajmera Manhattan, Wadala, Mumbai",none,Rs 2.76 Cr ,791 sqft,Jun '27,https://www.magicbricks.com/ajmera-manhattan-wadala-mumbai-pdpid-4d4235333235393037
"2 BHK Flat  for Sale in Mahindra Vista, Kandivali East, Mumbai",none,Rs 1.88 Cr ,653 sqft,Dec '30,https://www.magicbricks.com/mahindra-vista-kandivali-east-mumbai-pdpid-4d4235343138383837
"2 BHK Flat  for Sale in Ruparel Vivanza, Byculla East, Mumbai",none,Rs 2.26 Cr ,636 sqft,Dec '26,https://www.magicbricks.com/ruparel-vivanza-byculla-east-mumbai-pdpid-4d4235333739303539
"2 BHK Flat  for Sale in Chandak 34 Park Estate, Goregaon West, Mumbai",none,Rs 2.18 Cr ,612 sqft,Jul '28,https://www.magicbricks.com/chandak-34-park-estate-goregaon-west-mumbai-pdpid-4d4235313838393730
"2 BHK Flat  for Sale in Codename Triumph Tower 1, Bhandup West, Mumbai",none,Rs 1.89 Cr ,688 sqft,Dec '29,https://www.magicbricks.com/codename-triumph-tower-1-bhandup-west-mumbai-pdpid-4d4235343230343733
"3 BHK Flat  for Sale in Godrej Five Gardens, Matunga, Mumbai",none,Rs 13.24 Cr ,1496 sqft,Dec '26,https://www.magicbricks.com/godrej-five-gardens-matunga-mumbai-pdpid-4d4235333932323037
"2 BHK Flat  for Sale in Vihang Luxuria, Mira Road East, Mumbai",Vihang Luxuria,Rs 1.20 Cr ,684 sqft,Dec '27,no link
"2 BHK Flat  for Sale in Ajmera Manhattan, Wadala, Mumbai",none,Rs 2.76 Cr ,791 sqft,Jun '27,https://www.magicbricks.com/ajmera-manhattan-wadala-mumbai-pdpid-4d4235333235393037
"3 BHK Flat  for Sale in MICL Aaradhya Parkwood, Mira Bhayandar, Mumbai",none,Rs 1.64 Cr ,900 sqft,Dec '28,https://www.magicbricks.com/micl-aaradhya-parkwood-mira-bhayandar-mumbai-pdpid-4d4235333336323131
"3 BHK Apartment for Sale in Lodha New Cuffe Parade, Wadala Mumbai",none,Rs 3.56 Cr ,953 sqft,New Property,https://www.magicbricks.com/lodha-new-cuffe-parade-wadala-mumbai-pdpid-4d4235303230383539
"3 BHK Apartment for Sale in Sunteck Beach Residences, Vasai West Mumbai",none,Rs 1.18 Cr ,785 sqft,Dec '27,https://www.magicbricks.com/sunteck-beach-residences-vasai-west-mumbai-pdpid-4d4235333332343239
"2 BHK Apartment for Sale in Kalpataru Srishti Namaah, Mira Road Area Mumbai",Kalpataru Srishti Namaah,Rs 1.52 Cr ,682 sqft,Dec '29,no link
"3 BHK Apartment for Sale in Shapoorji Pallonji The Odyssey 1, Girgaon Mumbai",Shapoorji Pallonji The Odyssey 1,Rs 13.59 Cr ,1155 sqft,Aug '31,no link
"3 BHK Apartment for Sale in Platinum Oceanic, Khar West Mumbai",none,Rs 6.60 Cr ,689 sqft,Dec '28,https://www.magicbricks.com/platinum-oceanic-khar-west-mumbai-pdpid-4d4235343237313639
"3 BHK Apartment for Sale in Kalpataru Advay, Borivali West Mumbai",none,Rs 3.45 Cr ,1191 sqft,Jun '30,https://www.magicbricks.com/kalpataru-advay-borivali-west-mumbai-pdpid-4d4235343232383333
"3 BHK Apartment for Sale in Kalpataru Magnus, Bandra East Mumbai",none,Rs 8.68 Cr ,1447 sqft,Dec '25,https://www.magicbricks.com/kalpataru-magnus-bandra-east-mumbai-pdpid-4d4235313135343639
"3 BHK Apartment for Sale in Hiranandani Empress Hill, Powai Mumbai",none,Rs 7.07 Cr ,1390 sqft,Dec '28,https://www.magicbricks.com/hiranandani-empress-hill-powai-mumbai-pdpid-4d4235343137303631
"3 BHK Apartment for Sale in Shraddha Skyline, Borivali West Mumbai",none,Rs 3.80 Cr ,1183 sqft,Dec '26,https://www.magicbricks.com/shraddha-skyline-borivali-west-mumbai-pdpid-4d4235343233343833
"3 BHK Apartment for Sale in Supreme Boulevard, Chembur Mumbai",none,Rs 3.35 Cr ,1065 sqft,Mar '29,https://www.magicbricks.com/supreme-boulevard-chembur-mumbai-pdpid-4d4235343234303531
"3 BHK Apartment for Sale in Codename Rare By Runwal, DN Nagar Mumbai",none,Rs 4.97 Cr ,1216 sqft,Jun '26,https://www.magicbricks.com/codename-rare-by-runwal-dn-nagar-mumbai-pdpid-4d4235333332303231
"2 BHK Apartment for Sale in Sugee Sukrut , Dadar West Mumbai",none,Rs 4.71 Cr ,799 sqft,Oct '26,https://www.magicbricks.com/sugee-sukrut-dadar-west-mumbai-pdpid-4d4235303439393035
"2 BHK Apartment for Sale in Rassaz Greens, Mira Road Area Mumbai",none,Rs 1.25 Cr ,1100 sqft,New Property,https://www.magicbricks.com/rassaz-greens-mira-road-mumbai-pdpid-4d4235313231333331
"3 BHK Apartment for Sale in Shapoorji Pallonji The Odyssey 1, Girgaon Mumbai",none,Rs 24.49 Cr ,1777 sqft,Aug '31,https://www.magicbricks.com/shapoorji-pallonji-the-odyssey-1-girgaon-mumbai-pdpid-4d4235343234333835
"3 BHK Apartment for Sale in The Prestige City, Mulund West Mumbai",none,Rs 3.27 Cr ,1575 sqft,Dec '26,https://www.magicbricks.com/the-prestige-city-mulund-west-mumbai-pdpid-4d4235333332363837
"3 BHK Apartment for Sale in Rivali Park Moonrise, Borivali East Mumbai",none,Rs 2.96 Cr ,1170 sqft,Jun '30,https://www.magicbricks.com/rivali-park-moonrise-borivali-east-mumbai-pdpid-4d4235343231303435
"3 BHK Apartment for Sale in Raheja Antares, Kanjurmarg Mumbai",none,Rs 3.71 Cr ,1314 sqft,Jun '28,https://www.magicbricks.com/raheja-antares-kanjurmarg-mumbai-pdpid-4d4235343233303733
"3 BHK Apartment for Sale in Shubhyuvi Paradigm Anantaara, Borivali West Mumbai",none,Rs 3.62 Cr ,1240 sqft,Dec '30,https://www.magicbricks.com/shubhyuvi-paradigm-anantaara-borivali-west-mumbai-pdpid-4d4235343137363031
"2 BHK Apartment for Sale in VKG Manju Apartment CHS, Ghatkopar East Mumbai",none,Rs 2.52 Cr ,778 sqft,Apr '27,https://www.magicbricks.com/vkg-manju-apartment-chs-ghatkopar-east-mumbai-pdpid-4d4235303531393136
"3 BHK Apartment for Sale in Ashray Jaswanti Jewel, Kandivali West Mumbai",none,Rs 3.40 Cr ,1006 sqft,Dec '27,https://www.magicbricks.com/ashray-jaswanti-jewel-kandivali-west-mumbai-pdpid-4d4235343135383035
"2 BHK Apartment for Sale in Godrej Reserve, Kandivali East Mumbai",none,Rs 2.42 Cr ,822 sqft,Jun '30,https://www.magicbricks.com/godrej-reserve-kandivali-east-mumbai-pdpid-4d4235343139303931
"2 BHK Apartment for Sale in Mahindra Vista, Kandivali East Mumbai",none,Rs 2.28 Cr ,773 sqft,Dec '28,https://www.magicbricks.com/mahindra-vista-kandivali-east-mumbai-pdpid-4d4235343138383837
"2 BHK Apartment for Sale in Paradigm 71 Midtown, Chembur Mumbai",none,Rs 1.35 Cr ,570 sqft,Dec '25,https://www.magicbricks.com/paradigm-71-midtown-chembur-mumbai-pdpid-4d4235333139373935
